id,text,optionS,optionI,optionC,optionD,isValidation
1,"Cuando me enfrento a un problema importante, normalmente soy:","Metódico - avanzo de forma constante paso a paso","Orientado al diálogo - lo hablo con otros para obtener aportes","Analítico - reviso todos los hechos cuidadosamente antes de decidir","Orientado a la acción - decido rápido y me pongo en marcha",false
2,"En una situación estresante con fechas límite, prefiero:","Mantener la calma y trabajar sistemáticamente en las tareas","Reunir al equipo y mantener un ambiente positivo","Asegurar que la calidad no sufra bajo presión","Tomar el control y priorizar lo que debe hacerse primero",false
3,"Si descubro un error en un proyecto, normalmente:","Lo corrijo con calma sin crear drama","Lo hablo abiertamente con el equipo para que aprendamos de ello","Analizo por qué ocurrió para prevenirlo en el futuro","Lo gestiono de inmediato y sigo adelante",false
4,"Cuando necesito aprender algo nuevo, mi enfoque preferido es:","Seguir instrucciones paso a paso a mi propio ritmo","Aprender con otros mediante conversación e intercambio de experiencias","Estudiar el material cuidadosamente y entender primero la teoría","Entrar directamente y aprender con la práctica",false
5,"Mi reacción típica ante cambios repentinos en el plan es:","Prefiero la estabilidad, pero me adapto gradualmente","Sentir curiosidad por las nuevas posibilidades que trae","Evaluar las consecuencias antes de aceptar el cambio","Verlo como una oportunidad y adaptarme rápido",false
6,"Cuando un proyecto no va según lo previsto, tiendo a:","Mantener la calma y ayudar a estabilizar la situación","Mantener alta la moral del equipo y encontrar lo positivo","Identificar exactamente qué salió mal y cómo arreglarlo","Tomar decisiones rápidas para volver al rumbo",false
7,"En reuniones suelo contribuir:","Escuchando atentamente y apoyando las ideas de otros","Aportando energía y haciendo que otros participen","Haciendo preguntas críticas y señalando posibles desafíos","Impulsando la agenda y asegurando que alcancemos los objetivos",false
8,"Cuando debo dar feedback a un colega, prefiero:","Ser paciente y diplomático en mi enfoque","Empezar de forma positiva y crear un buen diálogo sobre mejoras","Dar feedback concreto y basado en hechos con ejemplos específicos","Ser directo y orientado a resultados en mi comunicación",false
9,"Mi entorno de trabajo preferido es aquel donde:","Hay estabilidad, previsibilidad y un equipo de apoyo","Hay buena química, humor y comunicación abierta","Hay altos estándares y tiempo para hacer bien las cosas","Hay objetivos claros y libertad para alcanzarlos a mi manera",false
10,"En discusiones de equipo, normalmente soy quien:","Se asegura de que todas las voces sean escuchadas","Promueve la lluvia de ideas y hace que todos participen","Plantea preguntas sobre calidad y consistencia","Mantiene el foco en el resultado y los próximos pasos",false
11,"Cuando presento una idea, me enfoco principalmente en:","Mostrar cómo beneficia a todos y crea armonía","Entusiasmar a otros y generar apoyo","Documentar la investigación y respaldarla con datos","Demostrar resultados e impacto potencial",false
12,"Mi estilo de comunicación se describe mejor como:","Paciente, amable y de apoyo","Entusiasta, extrovertido y participativo","Preciso, reflexivo y bien argumentado","Directo, claro y eficiente",false
13,"Cuando empiezo un nuevo proyecto, naturalmente:","Construyo un proceso estable que asegure progreso constante","Formo un equipo e inicio con una visión inspiradora","Investigo a fondo y planifico en detalle antes de empezar","Identifico objetivos clave y empiezo de inmediato",false
14,"Mi relación con reglas y procedimientos es:","Los sigo lealmente - crean estructura y seguridad","Los veo como pautas, pero me enfoco en las personas","Son importantes, y me aseguro de que se sigan correctamente","Los sigo cuando tienen sentido, pero los cuestiono si es necesario",false
15,"Bajo presión de tiempo, mi prioridad suele ser:","Mantener los procesos funcionando y evitar el caos","Mantener al equipo motivado y colaborativo","Asegurar que no comprometamos la calidad","Alcanzar los objetivos - si hace falta, tomando atajos",false
16,"Cuando trabajo solo en una tarea, soy mejor en:","Trabajar de forma constante y fiable hasta completarla","Generar ideas creativas y soluciones innovadoras","Producir trabajo impecable y bien investigado","Trabajar rápido y hacer que las cosas se hagan",false
17,"Mi ritmo natural de trabajo puede describirse como:","Constante y coherente con rutinas previsibles","Variado y enérgico con espacio para la espontaneidad","Enfocado y minucioso con tiempo para los detalles","Intenso y rápido con foco en resultados",false
18,"Cuando soy más productivo, trabajo mejor:","En un entorno tranquilo y estable sin interrupciones constantes","En colaboración con otros donde podemos intercambiar ideas","Con oportunidad de concentración profunda y análisis","Con plazos claros y desafíos que resolver",false
19,"Lo que más me motiva en mi trabajo es:","Ser una parte fiable de un equipo que se apoya mutuamente","Trabajar con personas y hacer una diferencia positiva","Aportar experiencia y trabajo de calidad","Lograr resultados concretos y alcanzar objetivos ambiciosos",false
20,"Cuando reflexiono sobre un buen día de trabajo, es porque he:","Ayudado al equipo y contribuido a un ambiente armonioso","Tenido buenas interacciones e inspirado a otros","Resuelto problemas complejos o producido trabajo impecable","Alcanzado mis objetivos y superado desafíos",false
21,"Mis colegas probablemente me describirían como:","Leal, paciente y de apoyo","Positivo, social e inspirador","Minucioso, preciso y orientado a la calidad","Orientado a objetivos, decidido y enfocado en resultados",false
22,"Lo más importante para mí en un rol de liderazgo es:","Ser un líder estable y fiable con quien las personas puedan contar","Crear un ambiente positivo donde las personas prosperen","Mantener altos estándares y entrega de calidad","Impulsar el desempeño y lograr resultados ambiciosos",false
23,"Me siento más valorado cuando otros reconocen mi:","Lealtad, fiabilidad y naturaleza de apoyo","Entusiasmo, creatividad y capacidad para involucrar a otros","Experiencia, precisión y minuciosidad","Determinación, resultados y liderazgo",false
24,"Mi definición de éxito en el trabajo es principalmente:","Ser un miembro fiel del equipo que contribuye a la estabilidad","Crear relaciones positivas e inspirar a otros","Entregar trabajo impecable, bien investigado y de alta calidad","Alcanzar o superar objetivos y metas concretas",false
25,"En términos generales, tiendo a:","Trabajar igual de bien con acción que con discusión","Estar más interesado en la discusión que en la acción","Analizar la situación antes de actuar o discutir","Estar más interesado en la acción que en la discusión",true
26,"Cuando algo sale mal, mi primera reacción es:","Mantengo la calma y ayudo a calmar la situación","Reúno a las personas para gestionarlo juntos","Analizo qué salió mal para evitar que se repita","Actúo de inmediato para corregirlo",true
