id,text,optionS,optionI,optionC,optionD,isValidation
1,"Gdy staję przed ważnym problemem, zazwyczaj jestem:","Metodyczny - przechodzę przez problem krok po kroku","Nastawiony na dialog - omawiam go z innymi, aby uzyskać opinie","Analityczny - dokładnie sprawdzam wszystkie fakty przed decyzją","Nastawiony na działanie - szybko podejmuję decyzje i zaczynam działać",false
2,"W stresującej sytuacji z terminami wolę:","Zachować spokój i systematycznie przechodzić przez zadania","Zebrać zespół i utrzymać pozytywną atmosferę","Dopilnować, aby presja nie obniżyła jakości","Przejąć kontrolę i ustalić, co trzeba zrobić najpierw",false
3,"Jeśli odkryję błąd w projekcie, zazwyczaj:","Poprawiam go spokojnie, bez tworzenia dramatu","Omawiam go otwarcie z zespołem, abyśmy się czegoś nauczyli","Analizuję, dlaczego powstał, aby zapobiec temu w przyszłości","Zajmuję się nim natychmiast i idę dalej",false
4,"Gdy muszę nauczyć się czegoś nowego, wolę:","Postępować według instrukcji krok po kroku we własnym tempie","Uczyć się z innymi przez dyskusję i wymianę doświadczeń","Dokładnie przestudiować materiał i najpierw zrozumieć teorię","Od razu spróbować i uczyć się przez praktykę",false
5,"Moja typowa reakcja na nagłe zmiany planu to:","Wolę stabilność, ale stopniowo się dostosowuję","Jestem ciekawy nowych możliwości, które to daje","Oceniam konsekwencje, zanim zaakceptuję zmianę","Widzę w tym szansę i szybko się dostosowuję",false
6,"Gdy projekt nie idzie zgodnie z planem, mam tendencję do tego, aby:","Zachować spokój i pomagać stabilizować sytuację","Podtrzymywać morale zespołu i znajdować pozytywy","Dokładnie ustalić, co poszło źle i jak to naprawić","Podejmować szybkie decyzje, aby wrócić na właściwy tor",false
7,"Na spotkaniach najczęściej wnoszę wartość przez:","Uważne słuchanie i wspieranie pomysłów innych","Wnoszenie energii i angażowanie innych","Zadawanie krytycznych pytań i wskazywanie potencjalnych wyzwań","Popychanie agendy do przodu i pilnowanie celów",false
8,"Gdy muszę przekazać informację zwrotną koledze, wolę:","Być cierpliwy i dyplomatyczny w swoim podejściu","Zacząć pozytywnie i stworzyć dobry dialog o usprawnieniach","Dać konkretną, opartą na faktach informację zwrotną z przykładami","Komunikować się bezpośrednio i zorientowanie na rezultat",false
9,"Moje preferowane środowisko pracy to takie, w którym:","Jest stabilność, przewidywalność i wspierający zespół","Jest dobra atmosfera, śmiech i otwarta komunikacja","Są wysokie standardy i czas, aby robić rzeczy porządnie","Są jasne cele i mam swobodę osiągania ich po swojemu",false
10,"W dyskusjach zespołowych zwykle jestem osobą, która:","Dba o to, aby wszystkie głosy zostały usłyszane","Wspiera burzę mózgów i zachęca wszystkich do udziału","Zadaje pytania o jakość i spójność","Utrzymuje fokus na wyniku i kolejnych krokach",false
11,"Gdy przedstawiam pomysł, skupiam się głównie na tym, aby:","Pokazać, jak pomaga wszystkim i tworzy harmonię","Entuzjazmować innych i budować poparcie","Udokumentować badania i poprzeć je danymi","Pokazać rezultaty i potencjalny wpływ",false
12,"Mój styl komunikacji najlepiej opisuje się jako:","Cierpliwy, życzliwy i wspierający","Entuzjastyczny, otwarty i angażujący","Precyzyjny, przemyślany i dobrze uzasadniony","Bezpośredni, jasny i efektywny",false
13,"Gdy rozpoczynam nowy projekt, naturalnie:","Buduję stabilny proces zapewniający stały postęp","Tworzę zespół i zaczynam od inspirującej wizji","Dokładnie badam temat i planuję szczegóły przed startem","Identyfikuję kluczowe cele i od razu zaczynam działać",false
14,"Mój stosunek do zasad i procedur jest taki, że:","Przestrzegam ich lojalnie - tworzą strukturę i bezpieczeństwo","Traktuję je jako wskazówki, ale skupiam się na ludziach","Są ważne i pilnuję, aby były przestrzegane prawidłowo","Przestrzegam ich, gdy mają sens, ale kwestionuję je w razie potrzeby",false
15,"Pod presją czasu moim priorytetem jest zwykle:","Utrzymać procesy w ruchu i uniknąć chaosu","Utrzymać motywację i współpracę w zespole","Dopilnować, aby nie iść na kompromis w jakości","Osiągnąć cele - jeśli trzeba, korzystając ze skrótów",false
16,"Gdy pracuję sam nad zadaniem, najlepiej potrafię:","Pracować stabilnie i niezawodnie przez całe zadanie","Generować kreatywne pomysły i innowacyjne rozwiązania","Tworzyć bezbłędną, dobrze zbadaną pracę","Pracować szybko i doprowadzać sprawy do końca",false
17,"Mój naturalny rytm pracy można opisać jako:","Równy i konsekwentny z przewidywalnymi rutynami","Zmienny i energiczny z miejscem na spontaniczność","Skupiony i dokładny z czasem na szczegóły","Intensywny i szybki z naciskiem na wyniki",false
18,"Gdy jestem najbardziej produktywny, najlepiej pracuję:","W spokojnym, stabilnym środowisku bez ciągłych przerw","We współpracy z innymi, gdzie możemy wymieniać pomysły","Z możliwością głębokiej koncentracji i analizy","Z jasnymi terminami i wyzwaniami do rozwiązania",false
19,"Najbardziej motywuje mnie w pracy:","Bycie niezawodną częścią zespołu, który wzajemnie się wspiera","Praca z ludźmi i wywieranie pozytywnego wpływu","Dostarczanie ekspertyzy i pracy wysokiej jakości","Osiąganie konkretnych rezultatów i ambitnych celów",false
20,"Gdy myślę o dobrym dniu pracy, to dlatego, że:","Pomogłem zespołowi i przyczyniłem się do harmonijnego środowiska","Miałem dobre interakcje i zainspirowałem innych","Rozwiązałem złożone problemy lub wykonałem bezbłędną pracę","Osiągnąłem cele i pokonałem wyzwania",false
21,"Moi koledzy prawdopodobnie opisaliby mnie jako:","Lojalnego, cierpliwego i wspierającego","Pozytywnego, towarzyskiego i inspirującego","Dokładnego, precyzyjnego i świadomego jakości","Zorientowanego na cel, zdecydowanego i nastawionego na wyniki",false
22,"Najważniejsze dla mnie w roli lidera jest:","Być stabilnym i niezawodnym liderem, na którym ludzie mogą polegać","Tworzyć pozytywne środowisko, w którym ludzie dobrze funkcjonują","Utrzymywać wysokie standardy i jakość dostarczania","Napędzać wyniki i osiągać ambitne rezultaty",false
23,"Czuję się najbardziej doceniony, gdy inni uznają moją:","Lojalność, niezawodność i wspierającą naturę","Entuzjazm, kreatywność i umiejętność angażowania innych","Ekspertyzę, precyzję i dokładność","Sprawczość, wyniki i przywództwo",false
