id,text,optionS,optionI,optionC,optionD,isValidation
1,"Når jeg står over for et vigtigt problem, er jeg normalt:","Metodisk - jeg arbejder støt gennem problemet trin for trin","Dialogsøgende - jeg diskuterer det med andre for at få input","Analytisk - jeg undersøger alle fakta grundigt før jeg beslutter","Handlekraftig - jeg tager beslutninger hurtigt og går i gang",false
2,"I en stresset situation med deadlines foretrækker jeg at:","Bevare roen og arbejde systematisk gennem opgaverne","Samle holdet og holde stemningen positiv","Sikre at kvaliteten ikke lider under presset","Tage kontrol og prioritere hvad der skal gøres først",false
3,"Hvis jeg opdager en fejl i et projekt, vil jeg typisk:","Rette det stille og roligt uden at skabe drama","Diskutere det åbent med teamet så vi lærer af det","Analysere hvorfor fejlen opstod så vi kan forhindre den fremover","Håndtere det øjeblikkeligt og gå videre",false
4,"Når jeg skal lære noget nyt, er min foretrukne tilgang:","Følge trin-for-trin instruktioner i mit eget tempo","Lære sammen med andre gennem diskussion og erfaringsudveksling","Studere materialet grundigt og forstå teorien først","Hoppe direkte ud i det og lære gennem praksis",false
5,"Min typiske reaktion på pludselige ændringer i planen er:","Jeg foretrækker stabilitet, men tilpasser mig gradvist","Være nysgerrig på de nye muligheder det giver","Evaluere konsekvenserne før jeg accepterer ændringen","Se det som en mulighed og tilpasse mig hurtigt",false
6,"Når projektet ikke går som planlagt, har jeg tendens til at:","Forblive rolig og hjælpe med at stabilisere situationen","Holde teamets moral oppe og finde det positive i situationen","Identificere præcist hvad der gik galt og hvordan vi fikser det","Tage hurtige beslutninger for at få tingene tilbage på sporet",false
7,"I møder bidrager jeg oftest ved at:","Lytte opmærksomt og støtte andres ideer","Bidrage med energi og få andre til at engagere sig","Stille kritiske spørgsmål og pege på potentielle udfordringer","Drive dagsordenen fremad og sikre vi når vores mål",false
8,"Når jeg skal give feedback til en kollega, foretrækker jeg at:","Være tålmodig og diplomatisk i min tilgang","Starte positivt og skabe en god dialog om forbedringer","Give konkret, faktabaseret feedback med specifikke eksempler","Være direkte og resultatorienteret i min kommunikation",false
9,"Mit foretrukne arbejdsmiljø er et hvor:","Der er stabilitet, forudsigelighed og et støttende team","Der er god kemi, latter og åben kommunikation","Der er høje standarder og tid til at gøre tingene ordentligt","Der er klare mål og jeg har frihed til at nå dem på min måde",false
10,"I teamdiskussioner er jeg typisk den der:","Sikrer at alle stemmer bliver hørt","Fremmer brainstorming og får alle til at deltage","Stiller spørgsmål til kvalitet og konsistens","Holder fokus på bundlinjen og næste skridt",false
11,"Når jeg præsenterer en idé, fokuserer jeg mest på at:","Vise hvordan det gavner alle og skaber harmoni","Entusiasmere andre og skabe opbakning","Dokumentere research og underbygge med data","Demonstrere resultater og potentiel impact",false
