id,text,optionS,optionI,optionC,optionD,isValidation
1,"När jag står inför ett viktigt problem brukar jag vara:","Metodisk – jag arbetar stadigt igenom problemet steg för steg","Dialoginriktad – jag diskuterar det med andra för att få synpunkter","Analytisk – jag granskar alla fakta noggrant innan jag fattar beslut","Handlingskraftig – jag fattar snabbt beslut och sätter igång",false
2,"I en stressig situation med tidsfrister föredrar jag att:","Behålla lugnet och arbeta systematiskt igenom uppgifterna","Samla teamet och hålla stämningen positiv","Säkerställa att kvaliteten inte försämras under press","Ta kontroll och prioritera vad som behöver göras först",false
3,"Om jag upptäcker ett fel i ett projekt brukar jag:","Rätta till det lugnt utan att skapa dramatik","Diskutera det öppet med teamet så att vi kan lära oss av det","Analysera varför felet uppstod så att vi kan förebygga det framöver","Hantera det direkt och gå vidare",false
4,"När jag ska lära mig något nytt föredrar jag att:","Följa stegvisa instruktioner i min egen takt","Lära tillsammans med andra genom diskussion och erfarenhetsutbyte","Studera materialet noggrant och förstå teorin först","Sätta igång direkt och lära mig genom praktiken",false
5,"Min typiska reaktion på plötsliga förändringar i planen är att:","Jag föredrar stabilitet men anpassar mig gradvis","Vara nyfiken på de nya möjligheter som förändringen innebär","Utvärdera konsekvenserna innan jag accepterar förändringen","Se det som en möjlighet och anpassa mig snabbt",false
6,"När ett projekt inte går som planerat brukar jag:","Förbli lugn och hjälpa till att stabilisera situationen","Hålla teamets motivation uppe och hitta det positiva i situationen","Identifiera exakt vad som gick fel och hur vi kan rätta till det","Fatta snabba beslut för att få allt på rätt spår igen",false
7,"På möten bidrar jag oftast genom att:","Lyssna uppmärksamt och stödja andras idéer","Bidra med energi och få andra engagerade","Ställa kritiska frågor och lyfta möjliga utmaningar","Driva agendan framåt och se till att vi når våra mål",false
8,"När jag ska ge återkoppling till en kollega föredrar jag att:","Vara tålmodig och diplomatisk i mitt sätt","Börja positivt och skapa en bra dialog om förbättringar","Ge konkret och faktabaserad återkoppling med tydliga exempel","Vara direkt och resultatinriktad i min kommunikation",false
9,"Min föredragna arbetsmiljö är en där:","Det finns stabilitet, förutsägbarhet och ett stöttande team","Det finns god sammanhållning, skratt och öppen kommunikation","Det finns höga standarder och tid att göra saker ordentligt","Det finns tydliga mål och jag har frihet att nå dem på mitt sätt",false
10,"I teamdiskussioner är jag vanligtvis den som:","Ser till att allas röster blir hörda","Uppmuntrar idéarbete och får alla att delta","Ställer frågor om kvalitet och konsekvens","Håller fokus på resultatet och nästa steg",false
11,"När jag presenterar en idé fokuserar jag främst på att:","Visa hur den gynnar alla och skapar harmoni","Entusiasmera andra och bygga stöd för idén","Presentera underlag och styrka resonemanget med data","Visa resultat och möjlig påverkan",false
12,"Min kommunikationsstil beskrivs bäst som:","Tålmodig, vänlig och stöttande","Entusiastisk, utåtriktad och engagerande","Precis, genomtänkt och väl underbyggd","Direkt, tydlig och effektiv",false
13,"När jag startar ett nytt projekt brukar jag naturligt:","Bygga upp en stabil process som ger jämna framsteg","Skapa ett team och starta med en inspirerande vision","Göra grundlig research och planera i detalj innan start","Identifiera de viktigaste målen och sätta igång direkt",false
14,"Mitt förhållande till regler och rutiner är att:","Jag följer dem lojalt – de skapar struktur och trygghet","Jag ser dem som riktlinjer men fokuserar på människorna","De är viktiga och jag ser till att de följs korrekt","Jag följer dem när de är meningsfulla men utmanar dem vid behov",false
15,"Under tidspress är min prioritet vanligtvis att:","Hålla processerna igång och undvika kaos","Hålla teamet motiverat och samarbetsinriktat","Säkerställa att vi inte kompromissar med kvaliteten","Nå målen – vid behov genom att ta genvägar",false
16,"När jag arbetar ensam med en uppgift är jag bäst på att:","Arbeta stadigt och pålitligt igenom uppgiften","Ta fram kreativa idéer och innovativa lösningar","Leverera ett felfritt och väl underbyggt arbete","Arbeta snabbt och få saker gjorda",false
17,"Min naturliga arbetsrytm kan beskrivas som:","Jämn och konsekvent med förutsägbara rutiner","Varierad och energisk med utrymme för spontanitet","Fokuserad och noggrann med tid för detaljer","Intensiv och snabb med fokus på resultat",false
18,"När jag är som mest produktiv arbetar jag bäst:","I en lugn och stabil miljö utan ständiga avbrott","Tillsammans med andra där vi kan utveckla idéer","Med möjlighet till djup koncentration och analys","Med tydliga tidsfrister och utmaningar att lösa",false
19,"Det som motiverar mig mest i mitt arbete är att:","Vara en pålitlig del av ett team som stöttar varandra","Arbeta med människor och göra en positiv skillnad","Bidra med expertis och leverera arbete av hög kvalitet","Uppnå konkreta resultat och nå ambitiösa mål",false
20,"När jag ser tillbaka på en bra arbetsdag beror det på att jag har:","Hjälpt teamet och bidragit till en harmonisk miljö","Haft bra möten och inspirerat andra","Löst komplexa problem eller levererat ett felfritt arbete","Nått mina mål och övervunnit utmaningar",false
21,"Mina kollegor skulle förmodligen beskriva mig som:","Lojal, tålmodig och stöttande","Positiv, social och inspirerande","Noggrann, precis och kvalitetsmedveten","Målinriktad, beslutsam och resultatorienterad",false
22,"Det viktigaste för mig i en ledarroll är att:","Vara en stabil och pålitlig ledare som andra kan lita på","Skapa en positiv miljö där människor trivs","Upprätthålla höga standarder och leverera kvalitet","Driva prestation och uppnå ambitiösa resultat",false
23,"Jag känner mig mest uppskattad när andra uppmärksammar min:","Lojalitet, pålitlighet och stöttande sida","Entusiasm, kreativitet och förmåga att engagera andra","Expertis, precision och noggrannhet","Beslutsamhet, resultat och ledarskap",false
24,"Min definition av framgång på arbetet är främst att:","Vara en lojal lagspelare som bidrar till stabilitet","Skapa positiva relationer och inspirera andra","Leverera ett felfritt och väl underbyggt arbete av hög kvalitet","Nå eller överträffa konkreta mål och resultatkrav",false
25,"Generellt sett brukar jag:","Arbeta lika bra med handling som med diskussion","Vara mer intresserad av diskussion än av handling","Analysera situationen före handling eller diskussion","Vara mer intresserad av handling än av diskussion",true
26,"När något går fel är min första reaktion att:","Behålla lugnet och hjälpa till att lugna situationen","Samla människor för att hantera det tillsammans","Analysera vad som gick fel för att förhindra att det händer igen","Agera omedelbart för att rätta till det",true
27,"Andra skulle säga att jag är mest känd för att:","Aldrig vara oense med någon om någonting","Alltid vara glad och aldrig stressad","Vara pålitlig och aldrig göra misstag","Alltid sitta i förarsätet och fatta alla beslut själv",true
