id,text,optionS,optionI,optionC,optionD,isValidation
1,"When facing an important problem, I am usually:","Methodical - I work steadily through the problem step by step","Dialogue-seeking - I discuss it with others to get input","Analytical - I thoroughly examine all facts before deciding","Action-oriented - I make decisions quickly and get started",false
2,"In a stressful situation with deadlines, I prefer to:","Stay calm and work systematically through the tasks","Gather the team and keep the mood positive","Ensure quality does not suffer under pressure","Take control and prioritize what needs to be done first",false
3,"If I discover an error in a project, I will typically:","Fix it quietly without creating drama","Discuss it openly with the team so we learn from it","Analyze why the error occurred so we can prevent it in the future","Handle it immediately and move on",false
4,"When I need to learn something new, my preferred approach is:","Follow step-by-step instructions at my own pace","Learn together with others through discussion and sharing experiences","Study the material thoroughly and understand the theory first","Jump right in and learn through practice",false
5,"My typical reaction to sudden changes in the plan is:","I prefer stability, but adapt gradually","Be curious about the new possibilities it brings","Evaluate the consequences before accepting the change","See it as an opportunity and adapt quickly",false
6,"When a project is not going as planned, I tend to:","Remain calm and help stabilize the situation","Keep the team morale up and find the positive in the situation","Identify exactly what went wrong and how we fix it","Make quick decisions to get things back on track",false
7,"In meetings, I most often contribute by:","Listening attentively and supporting others' ideas","Contributing energy and getting others engaged","Asking critical questions and pointing out potential challenges","Driving the agenda forward and ensuring we reach our goals",false
8,"When I need to give feedback to a colleague, I prefer to:","Be patient and diplomatic in my approach","Start positive and create a good dialogue about improvements","Give concrete, fact-based feedback with specific examples","Be direct and results-oriented in my communication",false
9,"My preferred work environment is one where:","There is stability, predictability, and a supportive team","There is good chemistry, laughter, and open communication","There are high standards and time to do things properly","There are clear goals and I have freedom to reach them my way",false
10,"In team discussions, I am typically the one who:","Ensures all voices are heard","Promotes brainstorming and gets everyone to participate","Asks questions about quality and consistency","Keeps focus on the bottom line and next steps",false
11,"When presenting an idea, I focus most on:","Showing how it benefits everyone and creates harmony","Enthusing others and building support","Documenting research and supporting with data","Demonstrating results and potential impact",false
12,"My communication style is best described as:","Patient, friendly, and supportive","Enthusiastic, outgoing, and engaging","Precise, well-considered, and well-argued","Direct, clear, and efficient",false
13,"When starting a new project, I will naturally:","Build a stable process that ensures steady progress","Form a team and kick off with an inspiring vision","Research thoroughly and plan in detail before starting","Identify key goals and get started right away",false
14,"My relationship with rules and procedures is:","I follow them loyally - they create structure and security","I see them as guidelines, but focus on the people","They are important, and I ensure they are followed correctly","I follow them when they make sense, but challenge them if necessary",false
15,"Under time pressure, my priority is typically:","To keep processes running and avoid chaos","To keep the team motivated and collaborative","To ensure we don't compromise on quality","To reach the goals - if necessary by taking shortcuts",false
16,"When working alone on a task, I am best at:","Working steadily and reliably through the task","Generating creative ideas and innovative solutions","Producing error-free, well-researched work","Working quickly and getting things done",false
17,"My natural work rhythm can be described as:","Steady and consistent with predictable routines","Varied and energetic with room for spontaneity","Focused and thorough with time for details","Intense and fast-paced with focus on results",false
18,"When I am most productive, I work best:","In a quiet, stable environment without constant interruptions","In collaboration with others where we can brainstorm","With the opportunity for deep concentration and analysis","With clear deadlines and challenges to solve",false
19,"What motivates me most in my work is:","Being a reliable part of a team that supports each other","Working with people and making a positive difference","Delivering expertise and quality work","Achieving concrete results and reaching ambitious goals",false
20,"When I reflect on a good workday, it's because I have:","Helped the team and contributed to a harmonious environment","Had great interactions and inspired others","Solved complex problems or produced error-free work","Reached my goals and overcome challenges",false
21,"My colleagues would probably describe me as:","Loyal, patient, and supportive","Positive, social, and inspiring","Thorough, precise, and quality-conscious","Goal-oriented, decisive, and results-driven",false
22,"What is most important to me in a leadership role is to:","Be a stable and reliable leader people can count on","Create a positive environment where people thrive","Maintain high standards and delivery of quality","Drive performance and achieve ambitious results",false
23,"I feel most valued when others recognize my:","Loyalty, reliability, and supportive nature","Enthusiasm, creativity, and ability to engage others","Expertise, precision, and thoroughness","Decisiveness, results, and leadership",false
24,"My definition of success at work is primarily:","Being a faithful team player who contributes to stability","Creating positive relationships and inspiring others","Delivering error-free, well-researched work of high quality","Meeting or exceeding concrete goals and targets",false
25,"Generally speaking, I tend to:","I work equally well with action as with discussion","I am more interested in discussion than in action","I analyze the situation before action or discussion","I am more interested in action than in discussion",true
26,"When something goes wrong, my first reaction is:","I stay calm and help calm the situation","I gather people to handle it together","I analyze what went wrong to prevent it from happening again","I take immediate action to fix it",true
27,"Others would say I am most known for being:","Never disagreeing with anyone about anything","Always happy and never stressed","Reliable and never making mistakes","Always in the driver's seat and making all decisions alone",true
